RA,DEC
5.74012,61.68550	
7.20375,59.28933	
44.03396,19.44272	
52.80000,43.90472	
75.61496,24.75614	
78.05508,-32.69439	
82.35637,-32.81814	
89.49696,53.89586	
96.31762,73.57747	
112.87100,9.93939	
113.15683,-13.51917	
117.82221,14.73997	
119.25554,63.10039	
175.91046,71.68867	
189.56825,-38.71278	
193.10196,-29.24931	
237.06042,-45.47750	
258.15179,-24.24575	
271.87550,45.85908	
283.75833,-31.16333	
299.56033,32.54506	
310.04042,-0.87119	
323.43188,51.12347	
334.48121,-8.35150	
343.82496,-3.17778	
